Head Lines,Sentiment,Stemmed,StopWords Removed,PosRemoval,stemming_posRemoval,PosRemoval_stemming,Stopwords_stemming,Pos_StopWords,StopWords_Pos,Stemming_StopWords,All Features 
UPDATE 1-Shire steps up drive to get Baxalta talking after $30 bln bid,0, UPDATE 1-Shire steps drive get Baxalta talking $ 30 bln bid, updat 1-shire step up drive to get baxalta talk after $ 30 bln bid, 1-Shire up drive get talking, 1-shire up drive get talk, updat 1-shire up get baxalta, updat 1-shire step drive get baxalta talk $ 30 bln bid, 1-Shire drive get talking, 1-Shire drive get talking, updat 1-shire step drive get baxalta talk $ 30 bln bid, updat 1-shire baxalta talk
Pearson in Talks to Sell Its Stake in the Economist Group,1, Pearson Talks Sell Its Stake Economist Group, pearson in talk to sell it stake in the economist group, Sell, sell, sell, pearson talk sell stake economist group,, Sell, pearson talk sell it stake economist group, sell
CompaniesTesco sheds Harris & Hoole coffee shops,0, CompaniesTesco sheds Harris & Hoole coffee shops, companiestesco shed harri & hool coffe shop,,, shed, companiestesco shed harri & hool coffe shop,,, companiestesco shed harri & hool coffe shop, shed
REFILE-BP agrees UK gas pipeline stake sale to infrastructur,0, REFILE-BP agrees UK gas pipeline stake sale infrastructur, refile-bp agre UK ga pipelin stake sale to infrastructur, REFILE-BP infrastructur, refile-bp infrastructur, refile-bp infrastructur, refile-bp agre UK ga pipelin stake sale infrastructur, REFILE-BP, REFILE-BP infrastructur, refile-bp agre UK ga pipelin stake sale infrastructur, refile-bp
"BHP Billiton slashes dividend, posts $5.67 billion net loss",-1," BHP Billiton slashes dividend , posts $ 5.67 billion net loss"," bhp billiton slash dividend , post $ 5.67 billion net loss", slashes posts net, slash post net, bhp post net," bhp billiton slash dividend , post $ 5.67 billion net loss", slashes posts net, slashes posts net," bhp billiton slash dividend , post $ 5.67 billion net loss", bhp post net
StanChart capital raising would be major surprise -investor Aberdeen,0, StanChart capital raising would major surprise -investor Aberdeen, stanchart capit rais would be major surpris -investor aberdeen, raising be major, rais be major, be major surpris, stanchart capit rais would major surpris -investor aberdeen, raising major, raising major, stanchart capit rais would major surpris -investor aberdeen, major surpris
Why I Would Put J Sainsbury plc In My Trolley Before Wm Morrison Supermarkets ...,-1, Why I Would Put J Sainsbury plc In My Trolley Before Wm Morrison Supermarkets ..., whi I would put J sainsburi plc In My trolley befor Wm morrison supermarket ..., Put, put, put, whi I would put J sainsburi plc In My trolley befor Wm morrison supermarket ..., Put, Put, whi I would put J sainsburi plc In My trolley befor Wm morrison supermarket ..., put
Glaxo Sees Hope for Respiratory Drugs as Earnings Beat Estimates,1, Glaxo Sees Hope Respiratory Drugs Earnings Beat Estimates, glaxo see hope for respiratori drug as earn beat estim,,, see respiratori earn, glaxo see hope respiratori drug earn beat estim,,, glaxo see hope respiratori drug earn beat estim, see hope respiratori earn
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,1, Peroni Grolsch put sale AB InBev plans acquisition SABMiller, peroni and grolsch put up for sale as AB inbev plan acquisit of sabmil, put plans, put plan, put, peroni grolsch put sale AB inbev plan acquisit sabmil, put plans, put plans, peroni grolsch put sale AB inbev plan acquisit sabmil, put acquisit
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,1, BRIEF-Aviva aims increase dividend pay-out ratio 50 pct 2017, brief-aviva aim to increas dividend pay-out ratio to 50 pct in 2017, BRIEF-Aviva increase pay-out, brief-aviva increas pay-out, brief-aviva increas, brief-aviva aim increas dividend pay-out ratio 50 pct 2017, increase pay-out, BRIEF-Aviva increase pay-out, brief-aviva aim increas dividend pay-out ratio 50 pct 2017, brief-aviva increas
Direct Line rings up higher profit,1, Direct Line rings higher profit, direct line ring up higher profit, Direct rings higher, direct ring higher, direct ring higher, direct line ring higher profit, Direct rings higher, Direct rings higher, direct line ring higher profit, direct ring higher
Jim Armitage: Barclays boss Jes Staley steps up to the plate with post-Leave positivity,0, Jim Armitage : Barclays boss Jes Staley steps plate post-Leave positivity, jim armitag : barclay boss je staley step up to the plate with post-leav posit, steps up post-Leave, step up post-leav, up post-leav, jim armitag : barclay boss je staley step plate post-leav posit, plate post-Leave, steps post-Leave, jim armitag : barclay boss je staley step plate post-leav posit, staley plate post-leav
AstraZeneca sells rights to anaesthetics to South Africas Aspen,1, AstraZeneca sells rights anaesthetics South Africas Aspen, astrazeneca sell right to anaesthet to south africa aspen, sells, sell, astrazeneca sell right anaesthet south africa, astrazeneca sell right anaesthet south africa aspen, sells, sells, astrazeneca sell right anaesthet south africa aspen, astrazeneca sell right south africa
GE to Sell Majority Stake in Bank BPHs Core Bank to Alior Bank,0, GE Sell Majority Stake Bank BPHs Core Bank Alior Bank, GE to sell major stake in bank bph core bank to alior bank,,, sell major core alior, GE sell major stake bank bph core bank alior bank,,, GE sell major stake bank bph core bank alior bank, major
StanChart and RBS struggle in Bank of England stress tests,-1, StanChart RBS struggle Bank England stress tests, stanchart and rb struggl in bank of england stress test,,,, stanchart rb struggl bank england stress test, struggle,, stanchart rb struggl bank england stress test, struggl
Antofagasta Sees Lower Cash Costs In 2015 - Quick Facts,0, Antofagasta Sees Lower Cash Costs In 2015 - Quick Facts, antofagasta see lower cash cost In 2015 - quick fact, Quick, quick, see lower quick, antofagasta see lower cash cost In 2015 - quick fact, Quick, Quick, antofagasta see lower cash cost In 2015 - quick fact, see lower quick
NPS prospects dependent on drug approval,0, NPS prospects dependent drug approval, np prospect depend on drug approv, dependent, depend, prospect, np prospect depend drug approv, dependent, dependent, np prospect depend drug approv, prospect depend
Pricelines stock jumps to new high for the year after Barclays upgrade,1, Pricelines stock jumps new high year Barclays upgrade, pricelin stock jump to new high for the year after barclay upgrad, new high upgrade, new high upgrad, new high, pricelin stock jump new high year barclay upgrad, jumps new high, new high upgrade, pricelin stock jump new high year barclay upgrad, new high
Tesco leads leap in FTSE 100; Marks & Spencer drops,1, Tesco leads leap FTSE 100 ; Marks & Spencer drops, tesco lead leap in ftse 100 ; mark & spencer drop, leads leap, lead leap, tesco ftse, tesco lead leap ftse 100 ; mark & spencer drop, leads leap, leads leap, tesco lead leap ftse 100 ; mark & spencer drop, tesco leap ftse
Tesco UK personnel director quits supermarket,0, Tesco UK personnel director quits supermarket, tesco UK personnel director quit supermarket, quits, quit, quit, tesco UK personnel director quit supermarket, quits, quits, tesco UK personnel director quit supermarket, quit
Royal Bank of Scotland fortunes ebbed and flowed under 3 chiefs,0, Royal Bank Scotland fortunes ebbed flowed 3 chiefs, royal bank of scotland fortun eb and flow under 3 chief, ebbed flowed, eb flow, royal, royal bank scotland fortun eb flow 3 chief, ebbed flowed, ebbed flowed, royal bank scotland fortun eb flow 3 chief, royal eb flow
Exxon Beaumont CDU overhaul to be slowed by accident: sources,-1, Exxon Beaumont CDU overhaul slowed accident : sources, exxon beaumont cdu overhaul to be slow by accid : sourc, be slowed, be slow, exxon beaumont be slow, exxon beaumont cdu overhaul slow accid : sourc, slowed, slowed, exxon beaumont cdu overhaul slow accid : sourc, exxon beaumont slow
TalkTalk hires BAE Systems to investigate cyber attack,0, TalkTalk hires BAE Systems investigate cyber attack, talktalk hire bae system to investig cyber attack, hires investigate, hire investig, investig cyber, talktalk hire bae system investig cyber attack, hires investigate, hires investigate, talktalk hire bae system investig cyber attack, investig
Valeant Said to Name New CEO With Pearson Still Hospitalized,0, Valeant Said Name New CEO With Pearson Still Hospitalized, valeant said to name new ceo with pearson still hospit, Still Hospitalized, still hospit, said name new still hospit, valeant said name new ceo pearson still hospit, Still Hospitalized, Still Hospitalized, valeant said name new ceo with pearson still hospit, said name new still hospit
ITV to pursue takeover of Canadas Entertainment One: Bloomberg,0, ITV pursue takeover Canadas Entertainment One : Bloomberg, itv to pursu takeov of canada entertain one : bloomberg, pursue, pursu, pursu entertain, itv pursu takeov canada entertain one : bloomberg,, pursue, itv pursu takeov canada entertain one : bloomberg, entertain
Barclays appoints JPMorgans Paul Compton as new COO,0, Barclays appoints JPMorgans Paul Compton new COO, barclay appoint jpmorgan paul compton as new coo, new, new, paul new, barclay appoint jpmorgan paul compton new coo, new, new, barclay appoint jpmorgan paul compton new coo, paul new
Rio Approves $5.3 Billion Oyu Tolgoi Copper Mine Expansion,1, Rio Approves $ 5.3 Billion Oyu Tolgoi Copper Mine Expansion, rio approv $ 5.3 billion oyu tolgoi copper mine expans, Approves, approv, approv tolgoi, rio approv $ 5.3 billion oyu tolgoi copper mine expans, Approves, Approves, rio approv $ 5.3 billion oyu tolgoi copper mine expans, approv tolgoi
Weir Group sees continued fall in orders from oil and gas business,-1, Weir Group sees continued fall orders oil gas business, weir group see continu fall in order from oil and ga busi, sees continued, see continu, see continu, weir group see continu fall order oil ga busi, sees continued, sees continued, weir group see continu fall order oil ga busi, see continu fall
New BG Group CEO Helge Lund Starts Earlier Than Expected,0, New BG Group CEO Helge Lund Starts Earlier Than Expected, new BG group ceo helg lund start earlier than expect, Starts Earlier Expected, start earlier expect, new earlier expect, new BG group ceo helg lund start earlier expect, Starts Earlier Expected, Starts Earlier Expected, new BG group ceo helg lund start earlier than expect, new earlier expect
"BHP, Residents Brace as Cyclone Stan Nears Australian Coast",0," BHP , Residents Brace Cyclone Stan Nears Australian Coast"," bhp , resid brace as cyclon stan near australian coast",,, resid australian," bhp , resid brace cyclon stan near australian coast",,," bhp , resid brace cyclon stan near australian coast", resid australian
Glaxos ViiV Healthcare Signs China Manufacturing Deal With Desano,0, Glaxos ViiV Healthcare Signs China Manufacturing Deal With Desano, glaxo viiv healthcar sign china manufactur deal with desano,,,, glaxo viiv healthcar sign china manufactur deal desano,,, glaxo viiv healthcar sign china manufactur deal with desano,
Barclays brands financier Amanda Staveleys $1bn claim as misconceived,-1, Barclays brands financier Amanda Staveleys $ 1bn claim misconceived, barclay brand financi amanda staveley $ 1bn claim as misconceiv, financier misconceived, financi misconceiv, staveley, barclay brand financi amanda staveley $ 1bn claim misconceiv, financier misconceived, financier misconceived, barclay brand financi amanda staveley $ 1bn claim misconceiv, staveley
